Row ID,Industry,Company,Name,Project Type,Project_Status,Technology,Key Tech,Key Values,Location,Region,Year,More
12.0,ACDP,UN Studio,BIM Speed Platform,RESEARCH,Ongoing,Data Science,Analytics & Visualization,Decision Making,Netherlands,Other,ongoing,2021
12.0,ACDP,UN Studio,BIM Speed Platform,RESEARCH,Ongoing,Software Tech,Analytics & Visualization,Decision Making,Netherlands,Other,ongoing,2021
12.0,ACDP,UN Studio,BIM Speed Platform,RESEARCH,Ongoing,Digital Connectivity Tech,Analytics & Visualization,Decision Making,Netherlands,Other,ongoing,2021
12.0,ACDP,UN Studio,BIM Speed Platform,RESEARCH,Ongoing,Cloud Computing,Analytics & Visualization,Decision Making,Netherlands,Other,ongoing,2021
13.0,ACDP,UN Studio,K Wah Nanjing,BUILDING,Ongoing,Building Information Modeling,Analytics & Visualization,Decision Making,China,Asia,ongoing,2023
13.0,ACDP,UN Studio,K Wah Nanjing,BUILDING,Ongoing,Data Analytics,Analytics & Visualization,Decision Making,China,Asia,ongoing,2023
13.0,ACDP,UN Studio,K Wah Nanjing,BUILDING,Ongoing,Generative Design,Analytics & Visualization,Decision Making,China,Asia,ongoing,2023
14.0,ACDP,UN Studio,Brainport Smart District,URBAN DESIGN,Ongoing,Building Information Modeling,Analytics & Visualization,Decision Making,Netherlands,Other,ongoing,2018
14.0,ACDP,UN Studio,Brainport Smart District,URBAN DESIGN,Ongoing,Generative Design,Analytics & Visualization,Decision Making,Netherlands,Other,ongoing,2018
14.0,ACDP,UN Studio,Brainport Smart District,URBAN DESIGN,Ongoing,Urban Data Analytics,Analytics & Visualization,Decision Making,Netherlands,Other,ongoing,2018
14.0,ACDP,UN Studio,Brainport Smart District,URBAN DESIGN,Ongoing,IoT,Analytics & Visualization,Decision Making,Netherlands,Other,ongoing,2018
15.0,ACDP,BIG,Woven City,URBAN DESIGN,Ongoing,Building Information Modeling,Analytics & Visualization,Sustainability,Japan,Other,ongoing,2020
15.0,ACDP,BIG,Woven City,URBAN DESIGN,Ongoing,Generative Design,Analytics & Visualization,Sustainability,Japan,Other,ongoing,2020
15.0,ACDP,BIG,Woven City,URBAN DESIGN,Ongoing,Urban Data Analytics,Analytics & Visualization,Sustainability,Japan,Other,ongoing,2020
15.0,ACDP,BIG,Woven City,URBAN DESIGN,Ongoing,Parametric Design,Analytics & Visualization,Sustainability,Japan,Other,ongoing,2020
16.0,ACDP,Genslar,BLOX,PRODUCT,Completed,Platform,Analytics & Visualization,Decision Making,USA,North America,2021,
16.0,ACDP,Genslar,BLOX,PRODUCT,Completed,Generative Design,Analytics & Visualization,Decision Making,USA,North America,2021,
16.0,ACDP,Genslar,BLOX,PRODUCT,Completed,Interactive Software,Analytics & Visualization,Decision Making,USA,North America,2021,
16.0,ACDP,Genslar,BLOX,PRODUCT,Completed,Plugin,Analytics & Visualization,Decision Making,USA,North America,2021,
16.0,ACDP,Genslar,BLOX,PRODUCT,Completed,BIM Visualisation,Analytics & Visualization,Decision Making,USA,North America,2021,
17.0,ACDP,Genslar,San Franciso International Airport,INFRASTRUCTURE,Completed,Parametric Design,Analytics & Visualization,Decision Making,USA,North America,2014,
